iter	Passed	Remaining
1407	138149	6730076
1408	138253	6730265
1409	138367	6730936
1410	138472	6731196
1411	138569	6731018
1412	138669	6731012
1413	138765	6730831
1414	138874	6731219
1415	138981	6731574
1416	139087	6731851
1417	139197	6732347
1418	139303	6732632
1419	139410	6732946
1420	139510	6732923
1421	139607	6732795
1422	139702	6732501
1423	139799	6732362
1424	139899	6732379
1425	140000	6732389
1426	140091	6731945
1427	140198	6732281
1428	140310	6732864
1429	140409	6732799
1430	140508	6732745
1431	140600	6732322
1432	140702	6732391
1433	140803	6732450
1434	140902	6732383
1435	141000	6732267
1436	141105	6732487
1437	141198	6732186
1438	141299	6732190
1439	141405	6732477
1440	141507	6732543
1441	141602	6732294
1442	141700	6732217
1443	141812	6732743
1444	141905	6732417
1445	142020	6733084
1446	142112	6732715
1447	142214	6732782
1448	142316	6732883
1449	142407	6732419
1450	142495	6731842
1451	142607	6732423
1452	142694	6731789
1453	142799	6732026
1454	142893	6731696
1455	142984	6731286
1456	143089	6731497
1457	143192	6731633
1458	143288	6731410
1459	143389	6731438
1460	143499	6731895
1461	143598	6731850
1462	143701	6731949
1463	143793	6731567
1464	143899	6731846
1465	144009	6732298
1466	144100	6731852
1467	144204	6732011
1468	144306	6732131
1469	144422	6732829
1470	144527	6733035
1471	144631	6733204
1472	144746	6733908
1473	144838	6733496
1474	144943	6733725
1475	145037	6733422
1476	145135	6733342
1477	145233	6733222
1478	145323	6732742
1479	145428	6732932
1480	145523	6732705
1481	145623	6732676
1482	145729	6732924
1483	145834	6733152
1484	145931	6733015
1485	146050	6733865
1486	146159	6734243
1487	146257	6734123
1488	146369	6734686
1489	146472	6734799
1490	146566	6734484
1491	146679	6735085
1492	146781	6735131
1493	146872	6734713
